Language,Total Speakers,Native Speakers,Origin,Scripts,Omniglot,Ethnologue,Wikipedia
English,1132366680,379007140,Indo-European,English,https://www.omniglot.com/writing/english.htm,https://www.ethnologue.com/language/eng/,https://en.wikipedia.org/wiki/English_language
Mandarin Chinese,1116596640,917868640,Sino-Tibetan,官话,https://www.omniglot.com/chinese/mandarin.htm,,https://en.wikipedia.org/wiki/Mandarin_Chinese
Hindi,615475540,341208640,Indo-European,हिन्दी,https://www.omniglot.com/writing/hindi.htm,,https://en.wikipedia.org/wiki/Hindi
Spanish,534335730,460093030,Indo-European,español,https://www.omniglot.com/writing/spanish.htm,,https://en.wikipedia.org/wiki/Spanish_language
French,279821930,77177210,Indo-European,français,https://www.omniglot.com/writing/french.htm,,http://en.wikipedia.org/wiki/French_language
Standard Arabic,273989700,,Afro-Asiatic,,,,
Bengali,265042480,228289600,Indo-European,বাংলা ,https://www.omniglot.com/writing/bengali.htm,,https://en.wikipedia.org/wiki/Bengali_language
Russian,258227760,153746530,Indo-European,Русский язык,https://www.omniglot.com/writing/russian.htm,,https://en.wikipedia.org/wiki/Russian_language
Portuguese,234168620,220762620,Indo-European,Português,https://www.omniglot.com/writing/portuguese.htm,,https://en.wikipedia.org/wiki/Portuguese_language
Indonesian,198733600,43364600,Austronesian,Bahasa Indonesia,https://www.omniglot.com/writing/indonesian.htm,,http://en.wikipedia.org/wiki/Indonesian_language
Urdu,170208780,68622980,Indo-European,اُردُو,https://www.omniglot.com/writing/urdu.htm,,http://en.wikipedia.org/wiki/Urdu_language
Standard German,132176520,76090520,Indo-European,Deutsch,https://www.omniglot.com/writing/german.htm,,http://en.wikipedia.org/wiki/German_language
Japanese,128350830,128229330,Japanic,日本語,https://www.omniglot.com/writing/japanese_language.htm,,https://en.wikipedia.org/wiki/Japanese_language
Swahili,98327740,16027740,Niger-Congo,Kiswahili ,https://www.omniglot.com/writing/swahili.htm,https://www.ethnologue.com/language/swh,http://en.wikipedia.org/wiki/Swahili_language
Marathi,95312800,83112800,Indo-European,मराठी ,https://www.omniglot.com/chinese/wu.htm,,https://en.wikipedia.org/wiki/Marathi_language
Telugu,93040340,82040340,Dravidian,తెలుగు ,https://www.omniglot.com/writing/telugu.htm,,https://en.wikipedia.org/wiki/Telugu_language
Western Punjabi,92725700,92725700,Indo-European,پنجابی,https://www.omniglot.com/writing/punjabi.htm,,http://en.wikipedia.org/wiki/Punjabi_language
Wu Chinese,81501290,81437890,Sino-Tibetan,吳語,https://www.omniglot.com/chinese/wu.htm,,https://en.wikipedia.org/wiki/Wu_Chinese
Tamil,80989130,75039130,Dravidian,தமிழ் ,https://www.omniglot.com/writing/tamil.htm,,https://en.wikipedia.org/wiki/Tamil_language
Turkish,79779360,79399060,Turkic,Türkçe,https://www.omniglot.com/writing/turkish.htm,,https://en.wikipedia.org/wiki/Turkish_language
Korean,77264890,77264890,Koreanic,한국어 ,https://www.omniglot.com/writing/korean.htm,,https://en.wikipedia.org/wiki/Korean_language
Korean,77264890,77264890,Koreanic,조선말 ,https://www.omniglot.com/writing/korean.htm,,https://en.wikipedia.org/wiki/Korean_language
Vietnamese,76950770,75950770,Austronesian,Tiếng Việt,https://www.omniglot.com/writing/vietnamese.htm,,https://en.wikipedia.org/wiki/Vietnamese_language
Yue Chinese,73538610,73136610,Sino-Tibetan,粵語,https://www.omniglot.com/chinese/yue.htm,,https://en.wikipedia.org/wiki/Yue_Chinese
Javanese,68277600,68277600,Austronesian,ꦧꦱꦗꦮ ,https://www.omniglot.com/writing/javanese.htm,https://www.ethnologue.com/language/jav,https://en.wikipedia.org/wiki/Javanese_language
Italian,67894920,64844820,Indo-European,italiano,https://www.omniglot.com/writing/italian.htm,,http://en.wikipedia.org/wiki/Italian_language
Egyptian Spoken Arabic,64618100,64618100,Afro-Asiatic,عربى,https://www.omniglot.com/writing/arabic_egypt.htm,https://www.ethnologue.com/language/arz,http://en.wikipedia.org/wiki/Egyptian_Arabic
Hausa,63428100,43928100,Afro-Asiatic,هَرْشَن هَوْسَ,https://www.omniglot.com/writing/hausa.htm,https://www.ethnologue.com/language/hau,http://en.wikipedia.org/wiki/Hausa_language
Thai,60657660,20657660,Kra-Dai,ภาษาไทย ,https://www.omniglot.com/language/names.htm,,http://en.wikipedia.org/wiki/Thai_language
Gujarati,60588970,56408970,Indo-European,ગુજરાતી ,https://www.omniglot.com/writing/gujarati.htm,,http://en.wikipedia.org/wiki/Gujarati_language
Kannada,56463310,43563310,Dravidian,ಕನ್ನಡ ,https://www.omniglot.com/writing/kannada.htm,,http://en.wikipedia.org/wiki/Kannada
Iranian Persian,52782160,52782160,Indo-European,فارسی,https://www.omniglot.com/writing/persian.htm,,http://en.wikipedia.org/wiki/Persian_language
Bhojpuri,52405300,52245300,Indo-European,भोजपुरी,https://www.omniglot.com/writing/bhojpuri.htm,https://www.ethnologue.com/language/bho,http://en.wikipedia.org/wiki/Bhojpuri_language
Southern Min Chinese,50462190,50075190,Sino-Tibetan,閩南語,https://www.omniglot.com/chinese/taiwanese.htm,,http://en.wikipedia.org/wiki/Taiwanese_Hokkien
Hakka Chinese,48467490,48467490,Sino-Tibetan,客家話,https://www.omniglot.com/chinese/hakka.htm,,http://en.wikipedia.org/wiki/Hakka_Chinese
Jinyu Chinese,46900000,46900000,Sino-Tibetan,晉語,,https://www.ethnologue.com/language/cjy,https://en.wikipedia.org/wiki/Jin_Chinese
Filipino,45000000,,Austronesian,,,,
Burmese,42912350,32912350,Sino-Tibetan,မြန်မာဘာသာ ,https://www.omniglot.com/writing/burmese.htm,,http://en.wikipedia.org/wiki/Burmese_alphabet
Polish,40378030,39713030,Indo-European,j?zyk polski,https://www.omniglot.com/writing/polish.htm,,http://en.wikipedia.org/wiki/Polish_language
Yoruba,39844260,37844260,Niger-Congo,?dè Yorùbá,https://www.omniglot.com/writing/yoruba.htm,,http://en.wikipedia.org/wiki/Yoruba_language
Odia,38051547,34461520,Indo-European,ଓଡ଼ିଆ ,https://www.omniglot.com/writing/oriya.htm,,http://en.wikipedia.org/wiki/Odia_language
Malayalam ,37829870,37134870,Dravidian,മലയാളം ,https://www.omniglot.com/writing/malayalam.htm,,http://en.wikipedia.org/wiki/Malayalam
Xiang Chinese,37300000,37300000,Sino-Tibetan,湘语,https://www.omniglot.com/chinese/xiang.htm,,http://en.wikipedia.org/wiki/Xiang_Chinese
Maithili,34085000,33890000,Indo-European,मैथिली,https://www.omniglot.com/writing/maithili.htm,,http://en.wikipedia.org/wiki/Maithili_language
Ukrainian,33082790,27282790,Indo-European,українська мова,https://www.omniglot.com/writing/ukrainian.htm,,http://en.wikipedia.org/wiki/Ukrainian_language
Moroccan Spoken Arabic,32608700,27488700,Afro-Asiatic,الدارجة,https://www.omniglot.com/writing/arabic_moroccan.htm,,http://en.wikipedia.org/wiki/Moroccan_Arabic
Eastern Punjabi,32601140,32600670,Indo-European,ਪੰਜਾਬੀ ,https://www.omniglot.com/writing/punjabi.htm,,http://en.wikipedia.org/wiki/Punjabi_language
Sunda,32400000,32400000,Austronesian,ᮘᮞ ᮞᮥᮔ᮪ᮓ,https://www.omniglot.com/writing/sundanese.php,,http://en.wikipedia.org/wiki/Sundanese_language
Algerian Spoken Arabic,32387600,29387600,Afro-Asiatic,دزيرية,https://www.omniglot.com/writing/arabic_algerian.htm,https://www.ethnologue.com/language/arq,http://en.wikipedia.org/wiki/Algerian_Arabic
Sundanese Spoken Arabic,31940300,31940300,Afro-Asiatic,,,,
Nigerian Pidgin,30000000,,Indo-European,,,,
Zulu,27779100,12079100,Niger-Congo,isiZulu,https://www.omniglot.com/writing/zulu.htm,https://www.ethnologue.com/language/zul,http://en.wikipedia.org/wiki/Zulu_language
Igbo,27014190,27014190,Niger-Congo,Ásụ̀sụ̀ Ìgbò,https://www.omniglot.com/writing/igbo.htm,https://www.ethnologue.com/language/ibo,http://en.wikipedia.org/wiki/Igbo_language
Amharic,25880630,21880630,Afro-Asiatic,ኣማርኛ ,https://www.omniglot.com/writing/amharic.htm,,http://en.wikipedia.org/wiki/Amharic_language
Northern Uzbek,25164820,25164820,Turkic,O'zbek tili,https://www.omniglot.com/writing/uzbek.htm,https://www.ethnologue.com/language/uzn,http://en.wikipedia.org/wiki/Uzbek_language
Sindhi,24615591,24615550,Indo-European,سنڌي‎,https://www.omniglot.com/language/names.htm,https://www.ethnologue.com/language/snd,http://en.wikipedia.org/wiki/Sindhi_language
North Levantine Spoken Arabic,24587400,24587400,Afro-Asiatic,,,,
Nepali,24528840,15848840,Indo-European,नेपाली ,https://www.omniglot.com/writing/nepali.htm,,http://en.wikipedia.org/wiki/Nepali_language
Romanian,24345750,24345750,Indo-European,,,,
Tagalog,23808890,23646890,Austronesian,Tagalog,https://www.omniglot.com/writing/tagalog.htm,https://www.ethnologue.com/language/npi,http://en.wikipedia.org/wiki/Tagalog
Dutch,23069480,23069480,Indo-European,Nederlands?,https://www.omniglot.com/writing/dutch.htm,,http://en.wikipedia.org/wiki/Dutch_language
Sa'idi Spoken Arabic,22400000,22400000,Afro-Asiatic,,,,
Gan Chinese,22100000,22100000,Sino-Tibetan,赣语,https://www.omniglot.com/chinese/gan.htm,http://www.ethnologue.com/14/show_language.asp?code=KNN,https://en.wikipedia.org/wiki/Gan_Chinese
Northern Pashto,20850900,20850900,Indo-European,پښتو,https://www.omniglot.com/writing/pashto.htm,,https://en.wikipedia.org/wiki/Pashto
Magahi,20746400,20735600,Indo-European,मगही,https://www.omniglot.com/writing/magahi.htm,http://www.ethnologue.com/18/language/mag,https://en.wikipedia.org/wiki/Magahi_language
Saraiki,20009000,20009000,Indo-European,سرائيكى ,https://www.omniglot.com/writing/saraiki.htm,,http://en.wikipedia.org/wiki/Saraiki_language
Xhosa,19183300,8183300,Niger-Congo,isiXhosa,https://www.omniglot.com/writing/xhosa.htm,https://www.ethnologue.com/language/xho,http://en.wikipedia.org/wiki/Xhosa_language
Malay,19092180,16092180,Austronesian,Bahasa Melayu,https://www.omniglot.com/writing/malay.htm,https://www.ethnologue.com/language/zlm,http://en.wikipedia.org/wiki/Malay_language
Khmer,17591230,16591230,Austronesian,ភាសាខ្មែរ ,https://www.omniglot.com/writing/khmer.htm,https://www.ethnologue.com/language/khm,https://en.wikipedia.org/wiki/Khmer_language
Afrikaans,17534580,7234580,Indo-European,Afrikaans,https://www.omniglot.com/writing/afrikaans.htm,,http://en.wikipedia.org/wiki/Afrikaans
Sinhala,17287880,15287880,Indo-European,සිංහල ,,,
Somali,16321530,16225930,Afro-Asiatic,,,,
Chhattisgarhi,16300000,16300000,Indo-European,,,,
Cebuano,15942480,15942480,Austronesian,,,,
Mesopotamian Spoken Arabic,15655900,15655900,Afro-Asiatic,,,,
Assamese,15329040,15328790,Indo-European,,,,
Northeastern Thai,15000000,15000000,Kra-Dai,,,,
Northern Kurdish,14605670,14605670,Indo-European,,,,
Hijazi Spoken Arabic,14524500,14524500,Afro-Asiatic,,,,
Nigerian Fulfulde,14485000,14485000,Niger-Congo,,,,
Bavarian,14359000,14359000,Indo-European,,,,
Bamanankan,14102320,4102320,Niger-Congo,,,,
South Azerbaijani,13813750,13813750,Turkic,,,,
Northern Sotho,13731000,4631000,Niger-Congo,,,,
Setswana,13664710,5814710,Niger-Congo,,,,
Souther Sotho,13524520,5624520,Niger-Congo,,,,
Czech,13386850,10704850,Indo-European,,,,
Greek,13170460,13111960,Indo-European,,,,
Chittagonian,13000000,13000000,Indo-European,,,,
Kazakh,12934060,12934060,Turkic,,,,
Swedish,12804900,9654900,Indo-European,,,,
Deccan,12800000,12800000,Indo-European,,,,
Hungarian,12574280,12574280,Uralic,,,,
Jula,12486000,2208000,Niger-Congo,,,,
Sadri,12131225,5131180,Indo-European,,,,
Kinyarwanda,12120250,12120250,Niger-Congo,,,,
Cameroonian Pidgin,12000000,,Indo-European,,,,
Sylheti,11800000,10300000,Indo-European,,,,
South Levantine Spoken Arabic,11601100,11601100,Afro-Asiatic,,,,
Tunisian Spoken Arabic,11571600,11571600,Afro-Asiatic,,,,
Sanaani Spoken Arabic,11350000,11350000,Afro-Asiatic,,,,
